Band0me,Band,WVL,5%,50%,95%,mean,stdv
const,0,0,-4.338118852,22.61311214,39.86873009,20.58771254,14.07091427
band_1,1,366,0,0,0,0,0
band_2,2,376,0,0,0,0,0
band_3,3,385,0,0,0,0,0
band_4,4,395,0,0,0,0,0
band_5,5,405,0,0,0,0,0
band_6,6,414,-22.12278641,-9.470916083,4.538766728,-9.031756715,8.114600945
band_7,7,424,-15.11424354,-7.729677696,-0.970977207,-7.892003451,4.315829604
band_8,8,434,-11.79620721,-6.301183425,-0.245912991,-6.199681163,3.4887444
band_9,9,443,-10.02441859,-5.299604419,-1.021499766,-5.431291321,2.688808889
band_10,10,453,-9.084500651,-4.054677067,1.445915914,-3.980850952,3.306534277
band_11,11,463,-8.827382314,-3.55270394,2.234413007,-3.486429574,3.348288456
band_12,12,472,-5.054881478,-0.575047895,3.969887007,-0.600726554,2.927423711
band_13,13,482,-4.35153526,0.228258239,4.88569077,0.256352326,2.862012441
band_14,14,492,-2.887952346,1.460818874,6.449374081,1.602067553,2.817617488
band_15,15,502,-2.509830597,1.640236822,5.889991998,1.648624454,2.543819567
band_16,16,511,-3.068779494,0.973074983,4.341383167,0.823752305,2.266848552
band_17,17,521,-5.616133979,-1.464624913,3.029207788,-1.452315519,2.698424014
band_18,18,531,-5.215283066,-0.521917528,4.096782343,-0.519338042,2.899410838
band_19,19,541,-7.314093063,-0.392957498,5.778148664,-0.456524477,3.887176898
band_20,20,550,-8.110166497,-1.178350072,5.083721371,-1.253488097,4.128967949
band_21,21,560,-7.132819293,0.3374834,6.60022987,0.121189723,4.334386549
band_22,22,570,-4.737262658,1.300375745,6.708506017,1.186490211,3.611202509
band_23,23,580,-0.710456958,4.690137983,9.079648259,4.424693419,3.184902443
band_24,24,589,-1.105104571,4.034847462,8.417442891,3.914019208,2.966528103
band_25,25,599,-0.639504955,4.374314173,8.526746651,4.209945832,2.871471592
band_26,26,609,2.44983052,6.512943169,10.32105001,6.460005978,2.516671475
band_27,27,619,3.573987976,7.812302716,11.70547314,7.786204187,2.470494858
band_28,28,628,4.545634544,8.544923555,12.58770224,8.467994883,2.420329711
band_29,29,638,4.95040674,9.068126725,13.15150441,8.992118158,2.521934388
band_30,30,648,6.853657305,11.48837298,16.24317701,11.5493344,2.928363143
band_31,31,655,6.013601094,11.46684222,16.94163762,11.56644209,3.383503892
band_32,32,658,5.903189344,11.80913692,17.58033195,11.81853081,3.507333376
band_33,33,665,6.449317331,11.36311416,16.95860824,11.45583735,3.212352525
band_34,34,668,6.347224339,11.87225466,17.52325067,11.93346286,3.437793491
band_35,35,675,6.389806244,12.90779908,19.42811625,12.94548607,3.954577842
band_36,36,685,7.308325653,13.77415628,20.15372934,13.74642187,3.967266676
band_37,37,694,0.695906357,6.307478843,12.68912069,6.533674495,3.740555382
band_38,38,704,-14.38733371,-6.676533878,1.092644542,-6.851117864,4.672041484
band_39,39,714,-23.97024169,-15.5768911,-7.061753224,-15.54895378,5.147780769
band_40,40,724,-32.46501681,-25.53299384,-16.84736637,-25.37788744,4.782173939
band_41,41,734,-30.98493401,-20.40998759,-8.829050332,-20.47623488,6.770036538
band_42,42,743,-17.79311441,-8.235492892,1.253502956,-8.29325061,6.014685694
band_43,43,753,-11.31430765,-3.24574246,5.890382074,-2.926609032,5.040458123
band_44,44,763,-14.18609988,-1.309987066,13.04721887,-1.060233371,8.356821893
band_45,45,773,-5.097959782,2.019347392,9.669739062,2.088743918,4.502090363
band_46,46,782,-4.597521446,2.41080757,9.727813843,2.379357795,4.402126469
band_47,47,792,-5.806687853,0.63137878,7.455156075,0.640953156,4.211427376
band_48,48,802,-5.232678959,0.739504823,6.422642644,0.635370937,3.681981876
band_49,49,812,-6.288536966,-0.085388762,6.276636583,-0.021927531,4.001775285
band_50,50,821,-7.957909225,-1.205074047,6.129123122,-1.147948934,4.272045439
band_51,51,831,-6.697604546,-1.199528851,4.522774392,-1.18959515,3.354063567
band_52,52,841,-7.267940305,-1.801965933,3.531446045,-1.820365024,3.320017654
band_53,53,850,-7.179081461,-2.227245509,2.410901609,-2.288112772,3.120439326
band_54,54,860,-9.079836022,-3.396495659,2.18879782,-3.309864512,3.370366423
band_55,55,870,-10.01863187,-3.554753385,2.644177445,-3.589881672,3.880431762
band_56,56,880,-9.572030603,-3.702721695,3.296134468,-3.291377801,4.190101032
band_57,57,889,-14.45513176,-6.652993803,1.729478778,-6.422025829,4.970273893
band_58,58,899,-14.11040044,-7.97296177,-1.08509976,-7.736508066,4.021425408
band_59,59,909,-18.79468223,-10.45653232,-1.025729064,-10.18279987,5.40339806
band_60,60,918,-19.20107683,-10.34757245,0.744891969,-9.711558884,5.905391996
band_61,61,928,-13.70191446,-1.830892618,9.74596387,-1.627062206,7.172661065
band_62,62,938,-22.16566662,-8.378351286,6.72103974,-8.226550132,8.971882794
band_63,63,947,-7.245297948,-0.158282394,7.234307191,-0.108032947,4.647241834
band_64,64,957,-8.47187881,1.324951617,10.25836985,1.224387131,5.679010473
band_65,65,967,0.125619007,8.062727989,16.2654919,8.087760054,4.928260372
band_66,66,976,2.700689703,9.287490302,16.49626311,9.260043928,4.291720694
band_67,67,986,4.606413735,10.24945251,16.40548896,10.44399165,3.638926783
band_68,68,995,6.352960196,12.04112878,18.55767435,12.22766885,3.804393596
band_69,69,1005,5.561169754,9.912895733,16.05790563,10.31789847,3.313556886
band_70,70,1015,3.122744057,7.732723835,12.96317138,7.976655147,2.98676484
band_71,71,1024,-0.612735332,3.640405356,8.380276275,3.675324756,2.737365199
band_72,72,1034,-4.634416808,-0.544749472,3.59335648,-0.532248989,2.554943
band_73,73,1044,-5.398458791,-1.196919212,3.739343879,-0.998580828,2.712032016
band_74,74,1053,-9.428634866,-4.556492821,0.105100769,-4.516852171,2.902988924
band_75,75,1063,-16.08719582,-10.52709498,-5.07999515,-10.50493329,3.306834131
band_76,76,1072,-16.73465763,-10.93443488,-5.259406117,-10.81365427,3.422980333
band_77,77,1082,-16.57374261,-11.20096667,-5.769781197,-11.15939124,3.457085539
band_78,78,1091,-17.8307186,-11.70163201,-4.668107925,-11.53871312,4.071968322
band_79,79,1101,-18.96168966,-11.34888753,-3.75417802,-11.21626327,4.698852311
band_80,80,1111,-20.04727648,-10.33293947,0.071358978,-10.05635298,6.216334499
band_81,81,1120,-8.736895631,1.816267492,13.01280543,1.818022446,6.654536648
band_82,82,1130,-9.103299784,0.179662669,8.506505493,-0.171384611,5.364646085
band_83,83,1139,-6.067671978,0.52059417,7.200200085,0.596702606,3.82933138
band_84,84,1149,-1.99670844,4.645357975,11.80964361,4.69425558,4.225555224
band_85,85,1158,-10.64678594,-1.756142642,7.003898498,-1.927246352,5.54967517
band_86,86,1168,-4.59268702,2.554426704,10.35207166,2.847276633,4.674568883
band_87,87,1177,0.890558173,7.279767916,14.02571263,7.370663174,4.004025644
band_88,88,1187,1.867950821,7.78714741,14.02404502,7.896763321,3.823039182
band_89,89,1196,3.882660716,11.22593909,18.29599281,11.21661202,4.38415557
band_90,90,1206,0.694473584,7.667761547,13.73544109,7.276187944,3.87625776
band_91,91,1215,-4.068375632,2.582268386,8.457294244,2.546720606,3.820092925
band_92,92,1225,-4.813510833,0.505652248,5.715619563,0.424278399,3.266983893
band_93,93,1235,-8.453941981,-3.640006141,1.642342223,-3.444836085,3.081344958
band_94,94,1244,-10.70169668,-5.728828676,0.087580685,-5.587459505,3.17438164
band_95,95,1253,-13.06356973,-7.98995769,-1.94325146,-7.779818476,3.42390347
band_96,96,1253,-23.34361442,-14.72980167,-5.282678455,-14.63522119,5.563121439
band_97,97,1263,-13.6058337,-8.241407608,-2.071780805,-8.072644882,3.569589604
band_98,98,1263,-22.84646582,-13.21230758,-3.109591061,-13.01047949,5.92424422
band_99,99,1273,-29.67074325,-18.25653394,-7.697227362,-18.37003781,6.665247537
band_100,100,1283,-18.69264008,-8.278327723,0.951378284,-8.647655325,5.990647142
band_101,101,1293,-15.23210171,-5.526376602,4.113920205,-5.452935705,5.855489277
band_102,102,1303,-23.54513761,-12.42741439,-0.35947441,-12.26381939,6.755498272
band_103,103,1313,0,0,0,0,0
band_104,104,1323,0,0,0,0,0
band_105,105,1333,0,0,0,0,0
band_106,106,1343,0,0,0,0,0
band_107,107,1353,0,0,0,0,0
band_108,108,1363,0,0,0,0,0
band_109,109,1373,0,0,0,0,0
band_110,110,1383,0,0,0,0,0
band_111,111,1393,0,0,0,0,0
band_112,112,1403,0,0,0,0,0
band_113,113,1413,0,0,0,0,0
band_114,114,1423,0,0,0,0,0
band_115,115,1433,0,0,0,0,0
band_116,116,1443,0,0,0,0,0
band_117,117,1453,0,0,0,0,0
band_118,118,1463,-11.32357161,1.366849679,15.87285335,1.571712169,8.301245581
band_119,119,1473,-7.981543113,2.968378939,16.37575657,3.468839457,7.569152231
band_120,120,1483,-22.0550904,-13.60561921,-4.496241061,-13.44703825,5.347885005
band_121,121,1493,-25.75238263,-18.93596091,-9.806934479,-18.53613569,4.72616324
band_122,122,1503,-27.90318886,-21.40615541,-14.04434809,-21.4746702,4.138178718
band_123,123,1513,-27.27653696,-20.81402787,-14.60448194,-20.62557207,3.84903295
band_124,124,1523,-25.6400444,-19.33210233,-13.08038484,-19.28831814,3.818977042
band_125,125,1533,-21.55638827,-15.28625923,-9.749406756,-15.34412973,3.659914398
band_126,126,1542,-24.11656059,-17.4648129,-11.62411998,-17.62935517,4.006692731
band_127,127,1552,-17.87712639,-12.33654947,-7.371094099,-12.53524008,3.347483133
band_128,128,1562,-14.63992633,-9.135038115,-4.409414219,-9.217754223,3.146604651
band_129,129,1572,-9.807725138,-4.841189496,-0.295469315,-4.950669496,2.95912823
band_130,130,1582,-7.12099915,-2.940467737,1.356249962,-2.899911054,2.700929248
band_131,131,1592,-5.577097782,-0.846115424,3.989338127,-0.792903592,2.799578443
band_132,132,1602,-3.592618681,0.80727435,5.056084338,0.913475448,2.603556187
band_133,133,1612,-5.276964936,-0.166394134,4.610539688,-0.134126825,3.058106392
band_134,134,1622,-0.404807436,4.579605028,9.920098993,4.622390169,2.990075809
band_135,135,1632,0.798600242,5.854430072,10.42090786,5.704622777,2.783962211
band_136,136,1642,4.535351172,10.27784002,15.54659651,10.24691834,3.216188626
band_137,137,1652,6.60555975,12.75767641,19.92812617,12.64254556,3.968474948
band_138,138,1662,9.104216631,15.05812779,21.80921249,15.24617257,3.742585658
band_139,139,1672,6.845421365,11.87655087,17.79766001,12.00514649,3.380270387
band_140,140,1682,4.481507968,8.96684215,13.51211144,8.971750413,2.69472271
band_141,141,1692,4.100023639,8.604234944,12.49412333,8.459280534,2.538470781
band_142,142,1702,2.344594881,7.705001317,12.63492798,7.707973676,3.219519266
band_143,143,1712,4.423528076,10.0810259,14.88490526,9.823781245,3.244309687
band_144,144,1722,-2.612680228,3.652865387,9.483630973,3.525025377,3.877478654
band_145,145,1732,-3.821623811,2.748422485,8.065384769,2.498279462,3.592437327
band_146,146,1742,-3.399181986,4.035525042,11.35204331,3.94470004,4.567632283
band_147,147,1752,-1.924745066,3.801732483,8.615006519,3.649892889,3.135413148
band_148,148,1762,-0.751418981,4.579390572,9.99626266,4.598841584,3.260088647
band_149,149,1772,-1.952026935,5.653984928,13.19490192,5.872934406,4.447739774
band_150,150,1782,0,0,0,0,0
band_151,151,1792,0,0,0,0,0
band_152,152,1802,0,0,0,0,0
band_153,153,1811,0,0,0,0,0
band_154,154,1821,0,0,0,0,0
band_155,155,1831,0,0,0,0,0
band_156,156,1841,0,0,0,0,0
band_157,157,1851,0,0,0,0,0
band_158,158,1861,0,0,0,0,0
band_159,159,1868,0,0,0,0,0
band_160,160,1871,0,0,0,0,0
band_161,161,1873,0,0,0,0,0
band_162,162,1878,0,0,0,0,0
band_163,163,1888,0,0,0,0,0
band_164,164,1898,0,0,0,0,0
band_165,165,1908,0,0,0,0,0
band_166,166,1918,0,0,0,0,0
band_167,167,1928,0,0,0,0,0
band_168,168,1938,0,0,0,0,0
band_169,169,1948,0,0,0,0,0
band_170,170,1958,0,0,0,0,0
band_171,171,1968,0,0,0,0,0
band_172,172,1978,0,0,0,0,0
band_173,173,1988,0,0,0,0,0
band_174,174,1998,0,0,0,0,0
band_175,175,2008,0,0,0,0,0
band_176,176,2018,0,0,0,0,0
band_177,177,2028,-18.07724366,-11.18722818,-4.339087216,-11.32250612,4.157838737
band_178,178,2038,-18.49450773,-12.89322017,-7.07745447,-12.79170728,3.531141963
band_179,179,2048,-17.07926137,-10.80415524,-5.644957738,-10.97252099,3.483964113
band_180,180,2058,-13.51573975,-4.970585578,2.762287517,-5.084101516,4.809685608
band_181,181,2068,-10.82924703,-4.001980336,2.403819733,-4.049041189,3.936559709
band_182,182,2078,-10.69712999,-6.612785573,-2.439954895,-6.512717591,2.499144341
band_183,183,2088,-12.67983086,-8.4235265,-4.932691837,-8.477087862,2.342330423
band_184,184,2099,-5.902229361,-2.437844056,0.794573326,-2.554759271,2.112265426
band_185,185,2109,-3.233077559,0.056563255,4.059366454,0.158839891,2.196770292
band_186,186,2119,-3.32632506,0.144744398,4.028727408,0.215332372,2.206979773
band_187,187,2129,1.677057494,5.173448613,8.922610995,5.225022461,2.226289977
band_188,188,2139,1.219529509,4.823047199,8.498008474,4.879920723,2.175553948
band_189,189,2149,2.384095875,5.373554382,9.226277876,5.629984998,2.13913359
band_190,190,2159,1.023390374,4.814927286,8.797307803,4.929974541,2.459626031
band_191,191,2169,2.920247751,7.054608135,10.54891909,6.936401019,2.427623603
band_192,192,2178,1.262982047,5.27866249,9.437313556,5.32955193,2.529959815
band_193,193,2188,2.813767861,6.870915096,11.21286129,6.955468374,2.552580403
band_194,194,2198,2.309080198,6.823022553,11.86252152,6.847679524,2.836715088
band_195,195,2208,2.207776079,6.011480912,11.42010512,6.306243953,2.81918672
band_196,196,2218,1.962860588,6.237237586,11.11911268,6.415908074,2.727163749
band_197,197,2228,1.397635132,5.817663595,10.78720598,5.88526345,2.804422815
band_198,198,2238,0.200517363,4.002265692,8.700215661,4.134265435,2.574371334
band_199,199,2248,1.166109282,5.188596276,10.01525861,5.41988479,2.720040589
band_200,200,2258,-3.948725465,0.579272051,4.868819948,0.565399712,2.676955901
band_201,201,2268,-0.64226489,3.65334032,8.155236371,3.672036843,2.753622022
band_202,202,2278,-2.757755698,1.696754624,5.714280625,1.687646179,2.663408999
band_203,203,2288,-5.76912413,-0.852113918,3.156981048,-1.033631823,2.769814232
band_204,204,2298,-10.26327119,-4.63192251,0.313216576,-4.763977617,3.351860184
band_205,205,2308,-8.470356539,-2.693882109,2.396675491,-2.780897081,3.256654225
band_206,206,2318,-12.29872382,-6.056643012,-1.493339027,-6.386355831,3.33338062
band_207,207,2328,-7.894101802,-2.806673785,2.264567234,-2.7727195,3.115204542
band_208,208,2338,-13.11661615,-6.979419273,-2.314113115,-7.159400467,3.195480705
band_209,209,2348,-12.93801539,-6.807243089,-1.104301426,-6.990575795,3.681545002
band_210,210,2358,-15.27185108,-9.050523186,-3.813396829,-9.072612529,3.587841109
band_211,211,2368,-15.87936437,-9.144644888,-3.415660833,-9.376953635,3.989797986
band_212,212,2378,-14.04560184,-5.774333697,0.805529935,-6.098129141,4.744813737
band_213,213,2388,-19.70340044,-11.57567602,-4.365220092,-11.77395797,4.574446922
band_214,214,2398,-20.26247828,-12.00517372,-5.599709697,-12.33726883,4.392931334
band_215,215,2408,-30.94258953,-18.29743667,-8.846309356,-18.75782848,6.786821402
band_216,216,2418,0,0,0,0,0
band_217,217,2428,0,0,0,0,0
band_218,218,2437,0,0,0,0,0
band_219,219,2447,0,0,0,0,0
band_220,220,2457,0,0,0,0,0
band_221,221,2467,0,0,0,0,0
band_222,222,2477,0,0,0,0,0
band_223,223,2487,0,0,0,0,0
band_224,224,2497,0,0,0,0,0
